BIST,BIRA
TP_BIST_CAA,TP_BIRA_CAA
TP_BIST_CDM,TP_BIRA_CDM
TP_BIST_CLC,TP_BIRA_CLC
TP_BIST_CLM,TP_BIRA_CLM
TP_BIST_PEX,TP_BIRA_PEX
TP_BIST_PRC,TP_BIRA_PRC
TP_BIST_PRE,TP_BIRA_PRE
TP_BIST_PRM,TP_BIRA_PRM
TP_BIST_PSC,TP_BIRA_PSC
TP_BIST_PSM,TP_BIRA_PSM
TP_BIST_QAC,TP_BIRA_QAC
TP_BIST_QLM,TP_BIRA_QLM
TP_BIST_RDM,TP_BIRA_RDM
TP_BIST_SBC,TP_BIRA_SBC
TP_BIST_SCHA,TP_BIRA_SCHA
TP_BIST_SCHB,TP_BIRA_SCHB
TP_BIST_WAC,TP_BIRA_WAC
TP_BIST_ETHCPUBTM,TP_BIRA_ETHCPUBTM
TP_BIST_ETHCPUTOP,TP_BIRA_ETHCPUTOP
TP_BIST_HOSTBTM,TP_BIRA_HOSTBTM
Q0_BIST_MAU0_20,Q0_BIRA_MAU0_0
Q0_BIST_MAU1_20,Q0_BIRA_MAU1_0
Q0_BIST_MAU2_20,Q0_BIRA_MAU2_0
Q0_BIST_MAU3_20,Q0_BIRA_MAU3_0
Q0_BIST_MAU4_20,Q0_BIRA_MAU4_0
Q0_BIST_MAU5_20,Q0_BIRA_MAU5_0
Q0_BIST_MAU6_20,Q0_BIRA_MAU6_0
Q0_BIST_MAU7_20,Q0_BIRA_MAU7_0
Q0_BIST_MAU8_20,Q0_BIRA_MAU8_0
Q0_BIST_MAU9_20,Q0_BIRA_MAU9_0
Q0_BIST_MAU10_20,Q0_BIRA_MAU10_0
Q0_BIST_MAU11_20,Q0_BIRA_MAU11_0
Q0_BIST_MAU12_20,Q0_BIRA_MAU12_0
Q0_BIST_MAU13_20,Q0_BIRA_MAU13_0
Q0_BIST_MAU14_20,Q0_BIRA_MAU14_0
Q0_BIST_MAU15_20,Q0_BIRA_MAU15_0
Q0_BIST_MAU16_20,Q0_BIRA_MAU16_0
Q0_BIST_MAU17_20,Q0_BIRA_MAU17_0
Q0_BIST_MAU18_20,Q0_BIRA_MAU18_0
Q0_BIST_MAU19_20,Q0_BIRA_MAU19_0
Q0_BIST_MAU20_20,Q0_BIRA_MAU20_0
Q1_BIST_MAU0_20,Q1_BIRA_MAU0_0
Q1_BIST_MAU1_20,Q1_BIRA_MAU1_0
Q1_BIST_MAU2_20,Q1_BIRA_MAU2_0
Q1_BIST_MAU3_20,Q1_BIRA_MAU3_0
Q1_BIST_MAU4_20,Q1_BIRA_MAU4_0
Q1_BIST_MAU5_20,Q1_BIRA_MAU5_0
Q1_BIST_MAU6_20,Q1_BIRA_MAU6_0
Q1_BIST_MAU7_20,Q1_BIRA_MAU7_0
Q1_BIST_MAU8_20,Q1_BIRA_MAU8_0
Q1_BIST_MAU9_20,Q1_BIRA_MAU9_0
Q1_BIST_MAU10_20,Q1_BIRA_MAU10_0
Q1_BIST_MAU11_20,Q1_BIRA_MAU11_0
Q1_BIST_MAU12_20,Q1_BIRA_MAU12_0
Q1_BIST_MAU13_20,Q1_BIRA_MAU13_0
Q1_BIST_MAU14_20,Q1_BIRA_MAU14_0
Q1_BIST_MAU15_20,Q1_BIRA_MAU15_0
Q1_BIST_MAU16_20,Q1_BIRA_MAU16_0
Q1_BIST_MAU17_20,Q1_BIRA_MAU17_0
Q1_BIST_MAU18_20,Q1_BIRA_MAU18_0
Q1_BIST_MAU19_20,Q1_BIRA_MAU19_0
Q1_BIST_MAU20_20,Q1_BIRA_MAU20_0
Q2_BIST_MAU0_20,Q2_BIRA_MAU0_0
Q2_BIST_MAU1_20,Q2_BIRA_MAU1_0
Q2_BIST_MAU2_20,Q2_BIRA_MAU2_0
Q2_BIST_MAU3_20,Q2_BIRA_MAU3_0
Q2_BIST_MAU4_20,Q2_BIRA_MAU4_0
Q2_BIST_MAU5_20,Q2_BIRA_MAU5_0
Q2_BIST_MAU6_20,Q2_BIRA_MAU6_0
Q2_BIST_MAU7_20,Q2_BIRA_MAU7_0
Q2_BIST_MAU8_20,Q2_BIRA_MAU8_0
Q2_BIST_MAU9_20,Q2_BIRA_MAU9_0
Q2_BIST_MAU10_20,Q2_BIRA_MAU10_0
Q2_BIST_MAU11_20,Q2_BIRA_MAU11_0
Q2_BIST_MAU12_20,Q2_BIRA_MAU12_0
Q2_BIST_MAU13_20,Q2_BIRA_MAU13_0
Q2_BIST_MAU14_20,Q2_BIRA_MAU14_0
Q2_BIST_MAU15_20,Q2_BIRA_MAU15_0
Q2_BIST_MAU16_20,Q2_BIRA_MAU16_0
Q2_BIST_MAU17_20,Q2_BIRA_MAU17_0
Q2_BIST_MAU18_20,Q2_BIRA_MAU18_0
Q2_BIST_MAU19_20,Q2_BIRA_MAU19_0
Q2_BIST_MAU20_20,Q2_BIRA_MAU20_0
Q3_BIST_MAU0_20,Q3_BIRA_MAU0_0
Q3_BIST_MAU1_20,Q3_BIRA_MAU1_0
Q3_BIST_MAU2_20,Q3_BIRA_MAU2_0
Q3_BIST_MAU3_20,Q3_BIRA_MAU3_0
Q3_BIST_MAU4_20,Q3_BIRA_MAU4_0
Q3_BIST_MAU5_20,Q3_BIRA_MAU5_0
Q3_BIST_MAU6_20,Q3_BIRA_MAU6_0
Q3_BIST_MAU7_20,Q3_BIRA_MAU7_0
Q3_BIST_MAU8_20,Q3_BIRA_MAU8_0
Q3_BIST_MAU9_20,Q3_BIRA_MAU9_0
Q3_BIST_MAU10_20,Q3_BIRA_MAU10_0
Q3_BIST_MAU11_20,Q3_BIRA_MAU11_0
Q3_BIST_MAU12_20,Q3_BIRA_MAU12_0
Q3_BIST_MAU13_20,Q3_BIRA_MAU13_0
Q3_BIST_MAU14_20,Q3_BIRA_MAU14_0
Q3_BIST_MAU15_20,Q3_BIRA_MAU15_0
Q3_BIST_MAU16_20,Q3_BIRA_MAU16_0
Q3_BIST_MAU17_20,Q3_BIRA_MAU17_0
Q3_BIST_MAU18_20,Q3_BIRA_MAU18_0
Q3_BIST_MAU19_20,Q3_BIRA_MAU19_0
Q3_BIST_MAU20_20,Q3_BIRA_MAU20_0
Q0_BIST_IPB_011_20200708_NOTCAM,Q0_BIRA_IPB_011_20200708_NOTCAM
Q0_BIST_EPB_010_20200115_NOTCAM,Q0_BIRA_EPB_010_20200115_NOTCAM
Q1_BIST_IPB_011_20200708_NOTCAM,Q1_BIRA_IPB_011_20200708_NOTCAM
Q1_BIST_EPB_010_20200115_NOTCAM,Q1_BIRA_EPB_010_20200115_NOTCAM
Q2_BIST_IPB_011_20200708_NOTCAM,Q2_BIRA_IPB_011_20200708_NOTCAM
Q2_BIST_EPB_010_20200115_NOTCAM,Q2_BIRA_EPB_010_20200115_NOTCAM
Q3_BIST_IPB_011_20200708_NOTCAM,Q3_BIRA_IPB_011_20200708_NOTCAM
Q3_BIST_EPB_010_20200115_NOTCAM,Q3_BIRA_EPB_010_20200115_NOTCAM
Q0_BIST_IPB_011_20200115_ONLYTCAM,Q0_BIRA_IPB_011_20200708_ONLYTCAM
Q0_BIST_EPB_010_20200115_ONLYTCAM,Q0_BIRA_EPB_010_20200708_ONLYTCAM
Q1_BIST_IPB_011_20200115_ONLYTCAM,Q1_BIRA_IPB_011_20200708_ONLYTCAM
Q1_BIST_EPB_010_20200115_ONLYTCAM,Q1_BIRA_EPB_010_20200708_ONLYTCAM
Q2_BIST_IPB_011_20200115_ONLYTCAM,Q2_BIRA_IPB_011_20200708_ONLYTCAM
Q2_BIST_EPB_010_20200115_ONLYTCAM,Q2_BIRA_EPB_010_20200708_ONLYTCAM
Q3_BIST_IPB_011_20200115_ONLYTCAM,Q3_BIRA_IPB_011_20200708_ONLYTCAM
Q3_BIST_EPB_010_20200115_ONLYTCAM,Q3_BIRA_EPB_010_20200708_ONLYTCAM
Q0_BIST_DPRHOE,Q0_BIRA_DPRHOE
Q0_BIST_DPRHOI,Q0_BIRA_DPRHOI
Q0_BIST_DPRINPPPS,Q0_BIRA_DPRINPPPS_009_20190510
Q0_BIST_DPRINPSLC,Q0_BIRA_DPRINPSLC_008_20190510
Q0_BIST_EBUF900,Q0_BIRA_EBUF900_002_20190510
Q0_BIST_ETH400GMAC,Q0_BIRA_ETH400GMAC_034_20190510
Q0_BIST_ETH400GPCS,Q0_BIRA_ETH400GPCS_035_20190510
Q0_BIST_LFLTR,Q0_BIRA_LFLTR_003_20190510
Q0_BIST_MIRROR,Q0_BIRA_MIRROR_005_20190510
Q0_BIST_P2S,Q0_BIRA_P2S_001_20190510
Q0_BIST_PARDEGLUE,Q0_BIRA_PARDEGLUE_004_20190510
Q0_BIST_S2P,Q0_BIRA_S2P_000_20190510
Q1_BIST_DPRHOE,Q1_BIRA_DPRHOE
Q1_BIST_DPRHOI,Q1_BIRA_DPRHOI
Q1_BIST_DPRINPPPS,Q1_BIRA_DPRINPPPS
Q1_BIST_DPRINPSLC,Q1_BIRA_DPRINPSLC
Q1_BIST_EBUF900,Q1_BIRA_EBUF900
Q1_BIST_ETH400GMAC,Q1_BIRA_ETH400GMAC
Q1_BIST_ETH400GPCS,Q1_BIRA_ETH400GPCS
Q1_BIST_LFLTR,Q1_BIRA_LFLTR
Q1_BIST_MIRROR,Q1_BIRA_MIRROR
Q1_BIST_P2S,Q1_BIRA_P2S
Q1_BIST_PARDEGLUE,Q1_BIRA_PARDEGLUE
Q1_BIST_S2P,Q1_BIRA_S2P
Q2_BIST_DPRHOE,Q2_BIRA_DPRHOE
Q2_BIST_DPRHOI,Q2_BIRA_DPRHOI
Q2_BIST_DPRINPPPS,Q2_BIRA_DPRINPPPS
Q2_BIST_DPRINPSLC,Q2_BIRA_DPRINPSLC
Q2_BIST_EBUF900,Q2_BIRA_EBUF900
Q2_BIST_ETH400GMAC,Q2_BIRA_ETH400GMAC
Q2_BIST_ETH400GPCS,Q2_BIRA_ETH400GPCS
Q2_BIST_LFLTR,Q2_BIRA_LFLTR
Q2_BIST_MIRROR,Q2_BIRA_MIRROR
Q2_BIST_P2S,Q2_BIRA_P2S
Q2_BIST_PARDEGLUE,Q2_BIRA_PARDEGLUE
Q2_BIST_S2P,Q2_BIRA_S2P
Q3_BIST_DPRHOE,Q3_BIRA_DPRHOE
Q3_BIST_DPRHOI,Q3_BIRA_DPRHOI
Q3_BIST_DPRINPPPS,Q3_BIRA_DPRINPPPS
Q3_BIST_DPRINPSLC,Q3_BIRA_DPRINPSLC
Q3_BIST_EBUF900,Q3_BIRA_EBUF900
Q3_BIST_ETH400GMAC,Q3_BIRA_ETH400GMAC
Q3_BIST_ETH400GPCS,Q3_BIRA_ETH400GPCS
Q3_BIST_LFLTR,Q3_BIRA_LFLTR
Q3_BIST_MIRROR,Q3_BIRA_MIRROR
Q3_BIST_P2S,Q3_BIRA_P2S
Q3_BIST_PARDEGLUE,Q3_BIRA_PARDEGLUE
Q3_BIST_S2P,Q3_BIRA_S2P
#Q0_BIST_EPB_010_20190918_ONLYTCAMV4,Q0_BIST_EPB_010_20190918_ONLYTCAMV4
Q0_BIST_MAU0_.*GLUE,Q0_BIRA_MAU0_.*GLUE
Q0_BIST_MAU1_.*GLUE,Q0_BIRA_MAU1_.*GLUE
Q0_BIST_MAU2_.*GLUE,Q0_BIRA_MAU2_.*GLUE
Q0_BIST_MAU3_.*GLUE,Q0_BIRA_MAU3_.*GLUE
Q0_BIST_MAU4_.*GLUE,Q0_BIRA_MAU4_.*GLUE
Q0_BIST_MAU5_.*GLUE,Q0_BIRA_MAU5_.*GLUE
Q0_BIST_MAU6_.*GLUE,Q0_BIRA_MAU6_.*GLUE
Q0_BIST_MAU7_.*GLUE,Q0_BIRA_MAU7_.*GLUE
Q0_BIST_MAU8_.*GLUE,Q0_BIRA_MAU8_.*GLUE
Q0_BIST_MAU9_.*GLUE,Q0_BIRA_MAU9_.*GLUE
Q0_BIST_MAU10_.*GLUE,Q0_BIRA_MAU10_.*GLUE
Q0_BIST_MAU11_.*GLUE,Q0_BIRA_MAU11_.*GLUE
Q0_BIST_MAU12_.*GLUE,Q0_BIRA_MAU12_.*GLUE
Q0_BIST_MAU13_.*GLUE,Q0_BIRA_MAU13_.*GLUE
Q0_BIST_MAU14_.*GLUE,Q0_BIRA_MAU14_.*GLUE
Q0_BIST_MAU15_.*GLUE,Q0_BIRA_MAU15_.*GLUE
Q0_BIST_MAU16_.*GLUE,Q0_BIRA_MAU16_.*GLUE
Q0_BIST_MAU17_.*GLUE,Q0_BIRA_MAU17_.*GLUE
Q0_BIST_MAU18_.*GLUE,Q0_BIRA_MAU18_.*GLUE
Q0_BIST_MAU19_.*GLUE,Q0_BIRA_MAU19_.*GLUE
Q0_BIST_MAU20_.*GLUE,Q0_BIRA_MAU20_.*GLUE
Q1_BIST_MAU0_.*GLUE,Q1_BIRA_MAU0_.*GLUE
Q1_BIST_MAU1_.*GLUE,Q1_BIRA_MAU1_.*GLUE
Q1_BIST_MAU2_.*GLUE,Q1_BIRA_MAU2_.*GLUE
Q1_BIST_MAU3_.*GLUE,Q1_BIRA_MAU3_.*GLUE
Q1_BIST_MAU4_.*GLUE,Q1_BIRA_MAU4_.*GLUE
Q1_BIST_MAU5_.*GLUE,Q1_BIRA_MAU5_.*GLUE
Q1_BIST_MAU6_.*GLUE,Q1_BIRA_MAU6_.*GLUE
Q1_BIST_MAU7_.*GLUE,Q1_BIRA_MAU7_.*GLUE
Q1_BIST_MAU8_.*GLUE,Q1_BIRA_MAU8_.*GLUE
Q1_BIST_MAU9_.*GLUE,Q1_BIRA_MAU9_.*GLUE
Q1_BIST_MAU10_.*GLUE,Q1_BIRA_MAU10_.*GLUE
Q1_BIST_MAU11_.*GLUE,Q1_BIRA_MAU11_.*GLUE
Q1_BIST_MAU12_.*GLUE,Q1_BIRA_MAU12_.*GLUE
Q1_BIST_MAU13_.*GLUE,Q1_BIRA_MAU13_.*GLUE
Q1_BIST_MAU14_.*GLUE,Q1_BIRA_MAU14_.*GLUE
Q1_BIST_MAU15_.*GLUE,Q1_BIRA_MAU15_.*GLUE
Q1_BIST_MAU16_.*GLUE,Q1_BIRA_MAU16_.*GLUE
Q1_BIST_MAU17_.*GLUE,Q1_BIRA_MAU17_.*GLUE
Q1_BIST_MAU18_.*GLUE,Q1_BIRA_MAU18_.*GLUE
Q1_BIST_MAU19_.*GLUE,Q1_BIRA_MAU19_.*GLUE
Q1_BIST_MAU20_.*GLUE,Q1_BIRA_MAU20_.*GLUE
Q2_BIST_MAU0_.*GLUE,Q2_BIRA_MAU0_.*GLUE
Q2_BIST_MAU1_.*GLUE,Q2_BIRA_MAU1_.*GLUE
Q2_BIST_MAU2_.*GLUE,Q2_BIRA_MAU2_.*GLUE
Q2_BIST_MAU3_.*GLUE,Q2_BIRA_MAU3_.*GLUE
Q2_BIST_MAU4_.*GLUE,Q2_BIRA_MAU4_.*GLUE
Q2_BIST_MAU5_.*GLUE,Q2_BIRA_MAU5_.*GLUE
Q2_BIST_MAU6_.*GLUE,Q2_BIRA_MAU6_.*GLUE
Q2_BIST_MAU7_.*GLUE,Q2_BIRA_MAU7_.*GLUE
Q2_BIST_MAU8_.*GLUE,Q2_BIRA_MAU8_.*GLUE
Q2_BIST_MAU9_.*GLUE,Q2_BIRA_MAU9_.*GLUE
Q2_BIST_MAU10_.*GLUE,Q2_BIRA_MAU10_.*GLUE
Q2_BIST_MAU11_.*GLUE,Q2_BIRA_MAU11_.*GLUE
Q2_BIST_MAU12_.*GLUE,Q2_BIRA_MAU12_.*GLUE
Q2_BIST_MAU13_.*GLUE,Q2_BIRA_MAU13_.*GLUE
Q2_BIST_MAU14_.*GLUE,Q2_BIRA_MAU14_.*GLUE
Q2_BIST_MAU15_.*GLUE,Q2_BIRA_MAU15_.*GLUE
Q2_BIST_MAU16_.*GLUE,Q2_BIRA_MAU16_.*GLUE
Q2_BIST_MAU17_.*GLUE,Q2_BIRA_MAU17_.*GLUE
Q2_BIST_MAU18_.*GLUE,Q2_BIRA_MAU18_.*GLUE
Q2_BIST_MAU19_.*GLUE,Q2_BIRA_MAU19_.*GLUE
Q2_BIST_MAU20_.*GLUE,Q2_BIRA_MAU20_.*GLUE
Q3_BIST_MAU0_.*GLUE,Q3_BIRA_MAU0_.*GLUE
Q3_BIST_MAU1_.*GLUE,Q3_BIRA_MAU1_.*GLUE
Q3_BIST_MAU2_.*GLUE,Q3_BIRA_MAU2_.*GLUE
Q3_BIST_MAU3_.*GLUE,Q3_BIRA_MAU3_.*GLUE
Q3_BIST_MAU4_.*GLUE,Q3_BIRA_MAU4_.*GLUE
Q3_BIST_MAU5_.*GLUE,Q3_BIRA_MAU5_.*GLUE
Q3_BIST_MAU6_.*GLUE,Q3_BIRA_MAU6_.*GLUE
Q3_BIST_MAU7_.*GLUE,Q3_BIRA_MAU7_.*GLUE
Q3_BIST_MAU8_.*GLUE,Q3_BIRA_MAU8_.*GLUE
Q3_BIST_MAU9_.*GLUE,Q3_BIRA_MAU9_.*GLUE
Q3_BIST_MAU10_.*GLUE,Q3_BIRA_MAU10_.*GLUE
Q3_BIST_MAU11_.*GLUE,Q3_BIRA_MAU11_.*GLUE
Q3_BIST_MAU12_.*GLUE,Q3_BIRA_MAU12_.*GLUE
Q3_BIST_MAU13_.*GLUE,Q3_BIRA_MAU13_.*GLUE
Q3_BIST_MAU14_.*GLUE,Q3_BIRA_MAU14_.*GLUE
Q3_BIST_MAU15_.*GLUE,Q3_BIRA_MAU15_.*GLUE
Q3_BIST_MAU16_.*GLUE,Q3_BIRA_MAU16_.*GLUE
Q3_BIST_MAU17_.*GLUE,Q3_BIRA_MAU17_.*GLUE
Q3_BIST_MAU18_.*GLUE,Q3_BIRA_MAU18_.*GLUE
Q3_BIST_MAU19_.*GLUE,Q3_BIRA_MAU19_.*GLUE
Q3_BIST_MAU20_.*GLUE,Q3_BIRA_MAU20_.*GLUE
# BIST BIRA naming convention seems to change
# This list is being used for convenience to reduce additional parsing, till naming is sorted out
